"Test","RiskLevel","Phase","Expected","Actual","Status","PolicyWorking","VaultName","Notes"
"Purge Protection","HIGH","Phase 3","Blocked","Created","❌ FAIL","False","val-nopurge-5762","Policy NOT blocking - CRITICAL ISSUE"
"Firewall Required","MEDIUM","Phase 2","Blocked","Created (Public)","❌ FAIL","False","val-public-4350","Policy NOT blocking public vaults"
"RBAC Required","MEDIUM","Phase 2","Blocked","Created (Access Policies)","❌ FAIL","False","val-accesspol-1357","Policy NOT blocking Access Policy vaults"
"Compliant Vault","BASELINE","All","Created","Created","✅ PASS","True","val-compliant-2766","Production-ready: Purge protection, RBAC, Soft delete (90d), Public access disabled (ARM template)"
"Keys Expiration","MEDIUM","Phase 2","Blocked","Blocked","✅ PASS","True",,"Deny mode working correctly"
"Secrets Expiration","MEDIUM","Phase 2","Blocked","Blocked","✅ PASS","True",,"Deny mode working correctly"
"RSA Key Size","MEDIUM","Phase 2","Blocked","Blocked","✅ PASS","True",,"Deny mode working correctly"
"Cert Max Validity","MEDIUM","Phase 2","Blocked","Blocked","✅ PASS","True",,"Deny mode working correctly"
"Cert Min Validity","MEDIUM","Phase 2","Blocked","Blocked","✅ PASS","True",,"Deny mode working correctly"
