Team,Contact Name,Role,Email,Phone,Availability,Authority Level,Notes
Cloud Brokers,,,,,,,
Cloud Brokers,,,,,,,
Cloud Brokers,,,,,,,
Cyber Defense,,,,,,,
Cyber Defense,,,,,,,
Cyber Defense,,,,,,,
Subscription Owners,,,,,,,
Subscription Owners,,,,,,,
Subscription Owners,,,,,,,
Change Management,,,,,,,
Change Management,,,,,,,
Documentation Team,,,,,,,
Leadership,,,,,,,
Leadership,,,,,,,
