"SubscriptionName","SubscriptionId","TenantId","State","SubscriptionPolicies","Tags"
"Arc Production","38fff784-1a98-4972-b5af-fe9086a41d6d","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Arc Staging","fdda18ee-65ac-40a2-89de-3e14d9cdff4c","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Ask Intel","db2997e7-0eb8-4c55-a358-88875a6319fe","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Ask_OPEDA","1d78423c-ea3c-45a3-966e-7083c0ff07ef","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Ask_OPEDA_Prod","324cd2e9-6778-4748-9a5a-a5353253586a","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"askdme-imta","f31ef9eb-91a7-4c80-969f-db0050793351","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"askec-chatbot","e67816be-2e48-4e1c-a7dd-871a78598a37","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"askinfosec-model-sub","fa476e8f-b240-416a-a1ce-24cc7dc4ca6a","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"ATAI-MLPlatform","3a852f82-3d2a-48fb-8450-2d9397d557f1","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"attd-adts-webtools","d3454aeb-8d2f-4231-994c-f68cc8159c11","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"attd-catd-39568","698eb4ef-819b-4f7e-b064-4d331c2f87dc","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"ATTDYield_AIML","30b20f12-7ed2-44b6-a2c1-d07695e4096d","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"attribution","a8303198-43d5-4204-82c0-d0a890904e20","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Augmented Intelligence","45d5e14a-a6a9-4fe9-85d5-42ce5b6409f3","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Aurora GenAI (POC)","3cb1eebe-311a-4c8c-89a4-cc5961ae4173","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Aurora OpenAI","850e9c21-bc91-47e6-8265-993632d0a0c0","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"AutoPylot","3f61a0e7-03dd-4b08-b621-17e55c6cb055","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Avaamo PowerBI Reporting","218284c1-1e9c-449f-9c7b-5ec75e31169e","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
