"KeyVaultName","SubscriptionName","SubscriptionId","ResourceGroupName","Location","ResourceId","VaultUri","Sku","TenantId","EnabledForDeployment","EnabledForDiskEncryption","EnabledForTemplateDeployment","EnableSoftDelete","SoftDeleteRetentionInDays","EnablePurgeProtection","EnableRbacAuthorization","PublicNetworkAccess","PrivateEndpointConnections","Tags","DiagnosticSettings"
"TestAKV-SM","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","IntelTesting","eastus","ERROR: The property 'PrivateEndpointConnections' cannot be found on this object. Verify that the property exists.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"kv-ok-1820486r","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","rg-akv-audit-test","eastus","ERROR: The property 'PrivateEndpointConnections' cannot be found on this object. Verify that the property exists.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"kv-no-purge-1820486r","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","rg-akv-audit-test","eastus","ERROR: The property 'PrivateEndpointConnections' cannot be found on this object. Verify that the property exists.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"kv-no-diag-1820486r","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","rg-akv-audit-test","eastus","ERROR: The property 'PrivateEndpointConnections' cannot be found on this object. Verify that the property exists.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"kv-accesspolicy-1820486r","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","rg-akv-audit-test","eastus","ERROR: The property 'PrivateEndpointConnections' cannot be found on this object. Verify that the property exists.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"kv-rbac-1820486r","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","rg-akv-audit-test","eastus","ERROR: The property 'PrivateEndpointConnections' cannot be found on this object. Verify that the property exists.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"kv-netrestrict-1820486r","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","rg-akv-audit-test","eastus","ERROR: The property 'PrivateEndpointConnections' cannot be found on this object. Verify that the property exists.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"kv-weakaccess-1820486r","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","rg-akv-audit-test","eastus","ERROR: The property 'PrivateEndpointConnections' cannot be found on this object. Verify that the property exists.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"kv-expired-1820486r","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","rg-akv-audit-test","eastus","ERROR: The property 'PrivateEndpointConnections' cannot be found on this object. Verify that the property exists.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
