"KeyVaultName","SubscriptionName","SubscriptionId","ResourceGroupName","Location","ResourceId","VaultUri","Sku","TenantId","EnabledForDeployment","EnabledForDiskEncryption","EnabledForTemplateDeployment","EnableSoftDelete","SoftDeleteRetentionInDays","EnablePurgeProtection","EnableRbacAuthorization","PublicNetworkAccess","PrivateEndpointConnections","Tags","DiagnosticSettings"
,"Alloy-AI-Dev","83e3e5b8-7f62-4411-982b-df3b06f692ff",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
"incmiiws8307481337","azure-test-2025","32fd222e-369d-4ab9-805a-9c65e9cea1ae","INC","eastus","/subscriptions/9f30a71d-12a2-42e2-badd-7f15da18469c/resourceGroups/INC/providers/Microsoft.KeyVault/vaults/incmiiws8307481337","https://incmiiws8307481337.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False",,,"True",,,"False","Enabled","Not configured","","Configured (2 setting(s))"
,"azure-test-2025","32fd222e-369d-4ab9-805a-9c65e9cea1ae",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
"kv-b2c-pr","AzureAD B2C CD","ab94842d-2ba1-44c8-9d9c-ba3bf851581e","RG-NETWORK-WESTUS2","westus2","/subscriptions/b1f5f940-8c36-4274-9275-662822760ab4/resourceGroups/RG-NETWORK-WESTUS2/providers/Microsoft.KeyVault/vaults/kv-b2c-pr","https://kv-b2c-pr.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","False","False","True","7",,"False","Enabled","Not configured","","Configured (2 setting(s))"
,"AzureAD B2C CD","ab94842d-2ba1-44c8-9d9c-ba3bf851581e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AzureAD B2C CD","ab94842d-2ba1-44c8-9d9c-ba3bf851581e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AIM Prod","a152ae44-5a38-4ccd-988b-2118b0c35d47",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AIM Prod","a152ae44-5a38-4ccd-988b-2118b0c35d47",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AIM Prod","a152ae44-5a38-4ccd-988b-2118b0c35d47",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AIM Prod","a152ae44-5a38-4ccd-988b-2118b0c35d47",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
"kv-b2c-pr","AzureAD B2C PP","41c02185-99ef-497e-906a-06962163bcf7","RG-NETWORK-WESTUS2","westus2","/subscriptions/b1f5f940-8c36-4274-9275-662822760ab4/resourceGroups/RG-NETWORK-WESTUS2/providers/Microsoft.KeyVault/vaults/kv-b2c-pr","https://kv-b2c-pr.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","False","False","True","7",,"False","Enabled","Not configured","","Configured (2 setting(s))"
,"AzureAD B2C PP","41c02185-99ef-497e-906a-06962163bcf7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AzureAD B2C PP","41c02185-99ef-497e-906a-06962163bcf7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"BCTSS","b9fa30a4-07cc-4644-afe3-78b722b54ea4",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"BCTSS","b9fa30a4-07cc-4644-afe3-78b722b54ea4",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
"kv-b2c-pr","AzureAD B2C PR","b1f5f940-8c36-4274-9275-662822760ab4","RG-NETWORK-WESTUS2","westus2","/subscriptions/b1f5f940-8c36-4274-9275-662822760ab4/resourceGroups/RG-NETWORK-WESTUS2/providers/Microsoft.KeyVault/vaults/kv-b2c-pr","https://kv-b2c-pr.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","False","False","True","7",,"False","Enabled","Not configured","","Configured (2 setting(s))"
,"AzureAD B2C PR","b1f5f940-8c36-4274-9275-662822760ab4",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AzureAD B2C PR","b1f5f940-8c36-4274-9275-662822760ab4",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"BMGPBI","e07002cf-3228-473e-906e-af205da46404",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
